ticker,business_id
CVNA,4d524d4eae16f9f41630d16a1738b5db
AZO,e13748298cfb23c19fdfd134a2221e7b
CARR,9a0f632c94c13193b5301b7d88712021
XEL,8606f35ec6c77858dfb80a385d0d1151
VST,fce98a8c9d933980092f0dce2370f5d0
ETR,8760d9ee9eca0591cb55437c0f81b114
NKE,093b60fd0557804c8ba0cbf1453da22f
NU,5b566c251db5f997f1068ec79d80a411
EXC,1f5795e7b93f423c397e6f7aaff80133
EBAY,a0a4dffddc52dbc3898e85e6f7fc9802
HUM,c5e1ab9c931df8f5e4c5a8aa53837d52
TTWO,5d541464ac15bfb8f0a537b010d13fa1
VTR,792b2eb6ecb026c35f5d189a2d727003
PRU,eb1e78328c46506b46a4ac4a1e378b91
XYZ,95c8514bfc06f566449738a7e59c98e4
RSG,e0d4973e785d9ba7e752bb44dbdb9aa7
NTRA,32912d2ef46a1979f3b163450ceda47b
YUM,20125fd9b2d43e340a35fb0278da235d
CMG,85dc4e7880813cf9f5329230888645df
UAL,da4902cb0bc38210839714ebdcf0efc3
AIG,e22dd5dabde45eda5a1a67772c8e25dd
KDP,fa58365589f52151f35d83d37d2a198a
ED,3a078aed1b7bab3a57bafbc952ea8aec
IBKR,ddbbf407617f33ad651aa3b259ea88e9
PCG,ee188463935a061dee6df8bf449cb882
PEG,82bedd2b0688d7c4f3ffc279dddd2cf7
HIG,250413d2982f1f83aa62a3a323cd2a87
DHI,ca9541826e97c4530b07dda2eba0e013
EXPE,030e65da2b1c944090548d36b244b28d
MTB,f845ef2c47b3760722e9c78a68cd549f
KMB,4fa91c19016cb1f807ea47b5a959d518
KVUE,a1066a6907f9352e62b65ef8759b1900
CCL,312f1ba2a72318edaaa995a67835fad5
WEC,0c383e8deecbd58d5cbdfd324132b91f
HBAN,ff2d9e29dce3a287da608e021c2b81a5
DXCM,b42a460943b362adace58452b371e99d
NTRS,cac8e13055d2e4f62b6322254203b293
ACGL,a249e437fa1c126bdb94086fe67b738e
COIN,f6f626191fd95b6c53c06fe1b97289e7
RMD,9d37362b4e9ebc276416eaa8e54887a7
CNC,ef8f94395be9fd78b7d0aeecf7864a03
RJF,d7b76edf790923bf7177f7ebba5978df
KR,86a2f353e1e6692c05fe83d6fc79cf9d
